New Jersey,0.6984,0.3016
Rhode Island,0.695,0.305
Nebraska,0.5097,0.4903
Utah,0.4665,0.5335
New Hampshire,0.4519,0.5481
Virginia,0.4249,0.5751
Ohio,0.3958,0.6042
Georgia,0.391,0.609
Pennsylvania,0.3844,0.6156
Nevada,0.3538,0.6462
Iowa,0.3523,0.6477
Texas,0.3522,0.6478
South Carolina,0.3502,0.6498
Arkansas,0.3436,0.6564
Maryland,0.3431,0.6569
Maine,0.33,0.67
Massachusetts,0.3221,0.6779
Wisconsin,0.3213,0.6787
Kansas,0.3205,0.6795
Indiana,0.3199,0.6801
Wyoming,0.3146,0.6854
Colorado,0.3138,0.6862
Minnesota,0.2854,0.7146
Oklahoma,0.2785,0.7215
California,0.2665,0.7335
Mississippi,0.2659,0.7341
Louisiana,0.2545,0.7455
Idaho,0.2433,0.7567
Alabama,0.2413,0.7587
Kentucky,0.2401,0.7599
Michigan,0.2347,0.7653
Oregon,0.2334,0.7666
Illinois,0.2333,0.7667
Hawaii,0.2246,0.7754
New York,0.2064,0.7936
Delaware,0.1914,0.8086
North Dakota,0.1902,0.8098
West Virginia,0.1736,0.8264
Alaska,0.1719,0.8281
Florida,0.1692,0.8308
North Carolina,0.1404,0.8596
Connecticut,0.1388,0.8612
Tennessee,0.1323,0.8677
New Mexico,0.1288,0.8712
Washington,0.1223,0.8777
Montana,0.1163,0.8837
South Dakota,0.1123,0.8877
Arizona,0.1114,0.8886
Missouri,0.0367,0.9633
